epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,424.901,0.51998,0.70974,0.58439,0.93373,0,0.91352,0.78837,0.91715,0.80846,0.92571,0.79914,0.92518,0.79274,0.5334,0.88313,0.58583,0.94387,0,0.000627048,0.000627048,0.000627048
46,434.4,0.50972,0.72903,0.60592,0.92628,0,0.88203,0.88443,0.92195,0.82012,0.89201,0.89325,0.92614,0.79406,0.53863,0.96761,0.5885,0.9587,0,0.000616049,0.000616049,0.000616049
47,443.004,0.5325,0.76196,0.61701,0.94802,0,0.92394,0.89091,0.9388,0.83727,0.95868,0.87103,0.94613,0.80181,0.51649,0.85945,0.55011,0.94843,0,0.000605051,0.000605051,0.000605051
48,452.873,0.4908,0.73032,0.58428,0.92374,0,0.92329,0.82879,0.90655,0.79525,0.91991,0.82535,0.90941,0.78399,0.51093,0.83043,0.53778,0.95877,0,0.000594052,0.000594052,0.000594052
49,462.483,0.49972,0.7011,0.59473,0.9413,0,0.91689,0.82988,0.90651,0.80164,0.91379,0.83689,0.9102,0.78545,0.48596,0.80087,0.54026,0.93677,0,0.000583053,0.000583053,0.000583053
50,471.123,0.49499,0.6731,0.57063,0.92474,0,0.92427,0.91075,0.94618,0.84435,0.92262,0.90995,0.94984,0.81642,0.49892,0.83919,0.55335,0.9488,0,0.000572054,0.000572054,0.000572054
51,480.775,0.47716,0.61478,0.54706,0.91553,0,0.93893,0.88284,0.94581,0.84403,0.92708,0.88243,0.94426,0.82693,0.48366,0.8348,0.51786,0.92424,0,0.000561055,0.000561055,0.000561055
52,490.428,0.46511,0.62851,0.53187,0.91349,0,0.94926,0.82638,0.90363,0.79942,0.95478,0.80172,0.88946,0.77978,0.48355,0.80918,0.54201,0.91171,0,0.000550056,0.000550056,0.000550056
53,500.048,0.48519,0.67381,0.57911,0.93616,0,0.93278,0.8278,0.8953,0.808,0.93908,0.83029,0.89004,0.78152,0.47167,0.84703,0.50816,0.90067,0,0.000539057,0.000539057,0.000539057
54,508.647,0.45766,0.60315,0.54456,0.91614,0,0.90567,0.82831,0.92781,0.83932,0.90717,0.8135,0.92072,0.81149,0.45789,0.83323,0.54584,0.90725,0,0.000528058,0.000528058,0.000528058
55,518.514,0.49204,0.6662,0.56121,0.92737,0,0.86567,0.81525,0.90263,0.80864,0.83155,0.8156,0.89146,0.79689,0.48288,0.82578,0.53465,0.90616,0,0.000517059,0.000517059,0.000517059
56,528.237,0.48014,0.68863,0.53844,0.91975,0,0.91957,0.83556,0.91571,0.8286,0.91345,0.8293,0.90848,0.80128,0.44696,0.78871,0.49235,0.89042,0,0.00050606,0.00050606,0.00050606
57,537.062,0.48326,0.65297,0.53342,0.92505,0,0.92312,0.86144,0.89989,0.79943,0.92887,0.8667,0.89576,0.79376,0.4691,0.79837,0.49172,0.9113,0,0.000495062,0.000495062,0.000495062
58,546.445,0.46173,0.58244,0.51447,0.9184,0,0.91247,0.84501,0.89508,0.79693,0.91857,0.84999,0.89166,0.7879,0.48911,0.78218,0.50641,0.91822,0,0.000484063,0.000484063,0.000484063
59,556.126,0.47655,0.68595,0.52979,0.92154,0,0.9314,0.82186,0.87354,0.79495,0.9389,0.82687,0.88014,0.76778,0.4892,0.86744,0.54225,0.92787,0,0.000473064,0.000473064,0.000473064
60,565.679,0.45018,0.5946,0.50082,0.91488,0,0.94267,0.82671,0.87293,0.7989,0.92891,0.84383,0.88547,0.75959,0.4569,0.91474,0.51422,0.90953,0,0.000462065,0.000462065,0.000462065
61,573.938,0.44598,0.63117,0.51166,0.90657,0,0.93266,0.84246,0.87952,0.79397,0.93883,0.84772,0.89139,0.7823,0.46421,0.78656,0.534,0.91463,0,0.000451066,0.000451066,0.000451066
62,583.437,0.45978,0.6331,0.5082,0.90986,0,0.87818,0.86564,0.88537,0.79638,0.92574,0.83593,0.89124,0.79854,0.46041,0.71693,0.51009,0.90625,0,0.000440067,0.000440067,0.000440067
63,593.083,0.47527,0.64814,0.52373,0.92481,0,0.90385,0.82705,0.88721,0.80144,0.90129,0.83379,0.89878,0.78811,0.46827,0.75129,0.49847,0.90211,0,0.000429068,0.000429068,0.000429068
64,601.774,0.4599,0.64004,0.49449,0.91496,0,0.91179,0.84661,0.90334,0.80936,0.91835,0.85167,0.90172,0.79379,0.45097,0.6973,0.48327,0.90344,0,0.000418069,0.000418069,0.000418069
65,611.418,0.43795,0.57079,0.48945,0.91157,0,0.93043,0.83769,0.91112,0.82978,0.93679,0.84295,0.91339,0.80595,0.43648,0.7223,0.4907,0.89098,0,0.00040707,0.00040707,0.00040707
66,620.971,0.44028,0.59033,0.48325,0.92017,0,0.89057,0.84443,0.90454,0.81289,0.8967,0.84969,0.90895,0.7968,0.45828,0.75651,0.5014,0.90323,0,0.000396071,0.000396071,0.000396071
